id,label,blockLouvain,blockIntraMax,year,cafFob
2,United States of America,1,4,1833,fob
5,Virgin Islands (Danish West Indies),1,4,1833,fob
6,Puerto Rico,1,1,1833,fob
40,Cuba,1,1,1833,fob
41,Haiti,2,5,1833,fob
54,Dominica,4,2,1833,fob
58,Antigua and Barbuda (Antigua),4,2,1833,fob
65,Guadeloupe,7,4,1833,fob
66,Martinique,7,4,1833,fob
68,Netherlands Antilles,1,3,1833,fob
70,Mexico,1,6,1833,fob
89,United States of Central America,1,4,1833,fob
100,Colombia (New Granada) (Gran Colombia),2,1,1833,fob
101,Venezuela,1,4,1833,fob
110,Guyana (British Guiana),1,4,1833,fob
120,French Guiana,7,4,1833,fob
135,Peru,1,1,1833,fob
140,Brazil,2,2,1833,fob
155,Chile,4,2,1833,fob
160,Argentina (La Plata),4,2,1833,fob
165,Uruguay,2,2,1833,fob
200,United Kingdom,4,2,1833,fob
210,Netherlands,2,3,1833,fob
211,Belgium,2,1,1833,fob
220,France,7,1,1833,fob
225,Switzerland,7,1,1833,fob
230,Spain,1,3,1833,fob
231,Gibraltar,1,1,1833,fob
235,Portugal,2,3,1833,fob
239,Prussia,0,2,1833,fob
240,Hanover,2,1,1833,fob
246,Bremen,2,3,1833,fob
248,Hamburg,2,1,1833,fob
280,Mecklenburg Schwerin,2,3,1833,fob
300,Austria-Hungary (Austrian Empire),5,1,1833,fob
324,Kingdom of Sardinia,5,1,1833,fob
327,Papal States,5,1,1833,fob
329,Two Sicilies,5,1,1833,fob
335,Parma,5,1,1833,fob
337,Tuscany,5,1,1833,fob
338,Malta,5,1,1833,fob
350,Greece,5,1,1833,fob
365,Russia (USSR),0,3,1833,fob
380,Sweden,2,3,1833,fob
385,Norway,2,3,1833,fob
390,Denmark,2,1,1833,fob
401,Madeira Isles,1,4,1833,fob
402,Cape Verde,1,4,1833,fob
433,Senegal,7,1,1833,fob
451,Sierra Leone,4,2,1833,fob
561,Cape Colony (Cape of Good Hope),4,1,1833,fob
585,Reunion (Bourbon I.),7,1,1833,fob
590,Mauritius,6,1,1833,fob
600,Morocco,7,1,1833,fob
615,Algeria (Regency of Algiers),7,1,1833,fob
616,Tunisia (Regency of Tunis),5,1,1833,fob
630,Iran (Persia),5,1,1833,fob
640,Turkey (Ottoman Empire),5,1,1833,fob
651,Egypt Arab Republic (Egypt),5,4,1833,fob
652,Syria,5,1,1833,fob
710,People's Republic of China (China),6,1,1833,fob
740,Japan,3,3,1833,fob
750,India,6,2,1833,fob
751,French India,6,4,1833,fob
752,Portuguese India,6,2,1833,fob
775,Myanmar (Burma),6,2,1833,fob
780,Sri Lanka (Ceylon),6,2,1833,fob
781,Maldive Islands,6,2,1833,fob
800,Thailand (Siam),3,3,1833,fob
815,Vietnam,3,1,1833,fob
840,Philippines,4,2,1833,fob
850,Indonesia (Dutch East Indies),3,3,1833,fob
901,New South Wales,6,2,1833,fob
902,Western Australia,6,2,1833,fob
1025,Quebec (Lower Canada),2,1,1833,fob
1029,St. Pierre and Miquelon,7,4,1833,fob
1049,Tobago,4,2,1833,fob
1064,St. Barthelemy,1,4,1833,fob
1075,St. Kitts,4,2,1833,fob
2901,Congress Poland,0,2,1833,fob
2903,Cracow (Free City of Cracow),0,2,1833,fob
3349,Ionian Is.,5,1,1833,fob
4050,St. Helena,4,2,1833,fob
6203,Tripolitania (Regency of Tripoli),5,1,1833,fob
7010,Kokand,0,3,1833,fob
7020,Bokhara,0,3,1833,fob
7030,Khiva,0,3,1833,fob
7504,Tranquebar,6,2,1833,fob
7693,Sindh,6,2,1833,fob
