year,importerId,importerLabel,importerType,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterId,exporterLabel,exporterType,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,value,reportedBy,partial,valueToSplit,originalReportedTradeFlowId,status,notes
1868,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,,1,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,23882.91746641075,155,,,,ok,
1868,Northern America,Northern America,RIC,,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,111638.57965451055,155,,,,split_only_partial,
1868,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,3843883.4932821495,155,,,,ok,
1868,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,1,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,30856.429942418425,155,,,,ok,
1868,900,Australia,GPH,,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,15345.48944337812,155,,,,split_failed_no_ratio,
1868,211,Belgium,GPH-AUTONOMOUS-CITED,1,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,3049.9040307101727,155,,,,ok,
1868,145,Bolivia,GPH-AUTONOMOUS-CITED,,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,79228.2149712092,155,,,,ok,
1868,140,Brazil,GPH-AUTONOMOUS-CITED,,1,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,56713.243761996164,155,,,,ok,
1868,1014,California (Great Bear Republic),GPH,,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,14947.21689059501,155,,,,ignore_resolved,
1868,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,1,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,29172.936660268715,155,,,,ok,
1868,Central America,Central America,RIC,,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,4839.731285988484,155,,,,split_failed_no_ratio,
1868,710,People's Republic of China (China),GPH-AUTONOMOUS-CITED,1,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,3968.3301343570056,155,,,,ok,
1868,130,Ecuador,GPH-AUTONOMOUS-CITED,,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,19863.531669865642,155,,,,ok,
1868,220,France,GPH-AUTONOMOUS-CITED,1,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,365864.6833013436,155,,,,ok,
1868,1163,Falkland Is.,GPH-AUTONOMOUS-CITED,1,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,1200.767754318618,155,,,,ok,
1868,325,Italy,GPH-AUTONOMOUS-CITED,1,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,39.923224568138195,155,,,,ok,
1868,100,Colombia (New Granada) (Gran Colombia),GPH-AUTONOMOUS-CITED,,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,10373.896353166987,155,,,,ok,
1868,135,Peru,GPH-AUTONOMOUS-CITED,,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,735661.9961612284,155,,,,ok,
1868,Polynesia,Polynesia,RIC,,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,10918.234165067179,155,,,,split_failed_no_ratio,
1868,235,Portugal,GPH-AUTONOMOUS-CITED,1,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,13.435700575815739,155,,,,ok,
1868,1161,Buenos Aires,GPH,,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,4944.337811900192,155,,,,ignore_resolved,
1868,165,Uruguay,GPH-AUTONOMOUS-CITED,,,,155,Chile,GPH-AUTONOMOUS-CITED,1,,,169075.43186180422,155,,,,ok,
1868,155,Chile,GPH-AUTONOMOUS-CITED,1,,,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,,1,,416304.0307101727,155,,,,ok,
1868,155,Chile,GPH-AUTONOMOUS-CITED,1,,,Northern America,Northern America,RIC,,,,222765.25911708255,155,,,,split_only_partial,
1868,155,Chile,GPH-AUTONOMOUS-CITED,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,1945396.9289827256,155,,,,ok,
1868,155,Chile,GPH-AUTONOMOUS-CITED,1,,,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,1,,,148479.46257197697,155,,,,ok,
1868,155,Chile,GPH-AUTONOMOUS-CITED,1,,,900,Australia,GPH,,,,1014.7792706333973,155,,,,split_failed_no_ratio,
