id,year,importerId,importerLabel,importerType,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterId,exporterLabel,exporterType,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,value,reportedBy,partial,valueToSplit,newReporter,newPartners,originalReportedTradeFlowId,status,notes
355<-300,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,1,,,1517545.881043257,355,,,,,,ok,
355<-200,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,749415.3148854962,355,,,,,,ok,
355<-211,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,211,Belgium,GPH-AUTONOMOUS-CITED,1,,,99257.3155216285,355,,,,,,ok,
355<-255,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,1,,,794230.3594147583,355,,,,,,ok,
355<-350,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,350,Greece,GPH-AUTONOMOUS-CITED,1,,,13428.713422391857,355,,,,,,ok,
355<-651,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,651,Egypt Arab Republic (Egypt),GPH-AUTONOMOUS-CITED,1,,,2460.4405216284986,355,,,,,,ok,
355<-230,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,4772.224872773537,355,,,,,,ok,
355<-325,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,325,Italy,GPH-AUTONOMOUS-CITED,1,,,330738.31106870226,355,,,,,,ok,
355<-351,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,351,Crete,GPH-AUTONOMOUS-CITED,,,,1236.6809796437658,355,,,,,,ok,
355<-360,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,360,Romania,GPH-AUTONOMOUS-CITED,1,,,147583.41284987278,355,,,,,,ok,
355<-365,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,365,Russia (USSR),GPH-AUTONOMOUS-CITED,1,,,241548.70388040712,355,,,,,,ok,
355<-2,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,22952.011768447835,355,,,,,,ok,
355<-342,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,342,Kingdom of Serbia,GPH-AUTONOMOUS-CITED,1,,,43757.83237913486,355,,,,,,ok,
355<-640,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,640,Turkey (Ottoman Empire),GPH-AUTONOMOUS-CITED,,,,676903.0295801526,355,,,,,,ok,
355<-220,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,220,France,GPH-AUTONOMOUS-CITED,1,,,425145.9128498728,355,,,,,,ok,
355<-210,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,210,Netherlands,GPH-AUTONOMOUS-CITED,1,,,24930.5820610687,355,,,,,,ok,
355<-225,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,225,Switzerland,GPH-AUTONOMOUS-CITED,1,,,38386.291348600505,355,,,,,,ok,
355<-Norway & Sweden,1904,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,Norway & Sweden,Norway & Sweden,RIC,,,,7018.3285623409665,355,,,,,,ignore_resolved,
355->300,1904,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,1,,,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,560184.4783715012,355,,,,,,ok,
355->200,1904,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,983149.4115776081,355,,,,,,ok,
355->211,1904,211,Belgium,GPH-AUTONOMOUS-CITED,1,,,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,2106693.3842239184,355,,,,,,ok,
355->255,1904,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,1,,,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,485688.25540712464,355,,,,,,ok,
355->350,1904,350,Greece,GPH-AUTONOMOUS-CITED,1,,,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,148330.74904580152,355,,,,,,ok,
355->651,1904,651,Egypt Arab Republic (Egypt),GPH-AUTONOMOUS-CITED,1,,,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,13352.973918575062,355,,,,,,ok,
355->230,1904,230,Spain,GPH-AUTONOMOUS-CITED,1,,,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,84005.7649491094,355,,,,,,ok,
355->325,1904,325,Italy,GPH-AUTONOMOUS-CITED,1,,,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,189335.52003816792,355,,,,,,ok,
355->351,1904,351,Crete,GPH-AUTONOMOUS-CITED,,,,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,1812.7783078880407,355,,,,,,ok,
355->360,1904,360,Romania,GPH-AUTONOMOUS-CITED,1,,,355,Bulgaria,GPH-AUTONOMOUS-CITED,1,,,69800.57251908397,355,,,,,,ok,
