NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"intramax","fob",1833,"common_empire",.90816081,.54747999,1.2688416,-.014441386
"intramax","fob",1834,"common_empire",1.0852309,.63929403,1.531168,-.0025758406
"intramax","fob",1835,"common_empire",.31059226,-.054292906,.67547745,-.021122156
"intramax","fob",1836,"common_empire",.28415689,-.1991674,.76748115,-.00043936883
"intramax","fob",1837,"common_empire",.41529003,.038511734,.7920683,-.024235364
"intramax","fob",1838,"common_empire",.9004302,.47025904,1.3306015,.0047852849
"intramax","fob",1839,"common_empire",.46957681,.068967909,.87018567,-.012227674
"intramax","fob",1840,"common_empire",-.065575428,-.3370634,.20591255,-.019245813
"intramax","fob",1841,"common_empire",.14447667,-.10359617,.39254951,-.024473796
"intramax","fob",1842,"common_empire",.35334727,.08500582,.62168872,-.028496627
"intramax","fob",1843,"common_empire",.85888326,.54372954,1.174037,.011650705
"intramax","fob",1844,"common_empire",.056662496,-.23591214,.34923711,-.00097350369
"intramax","fob",1845,"common_empire",.88187355,.49606732,1.2676798,-.0035476864
"intramax","fob",1846,"common_empire",.68935049,.39493343,.98376745,.0033123537
"intramax","fob",1847,"common_empire",.58077526,.25227743,.90927309,.0012235532
"intramax","fob",1848,"common_empire",.76576871,.47117209,1.0603653,.0089179426
"intramax","fob",1849,"common_empire",.63506907,.32086271,.94927537,.0017141214
"intramax","fob",1850,"common_empire",1.3864522,1.0243844,1.7485199,.031689491
"intramax","fob",1851,"common_empire",.77112615,.44121554,1.1010367,.0063728443
"intramax","fob",1852,"common_empire",.53159267,.15333547,.90984994,-.0025318004
"intramax","fob",1853,"common_empire",.24136221,-.073581159,.55630559,-.011475627
"intramax","fob",1854,"common_empire",.52158761,.32913035,.71404487,.00023947065
"intramax","fob",1855,"common_empire",.92005128,.61517441,1.2249281,.014120298
"intramax","fob",1856,"common_empire",.071581937,-.14844725,.29161114,-.013807056
"intramax","fob",1857,"common_empire",.93707305,.61396724,1.2601788,.0075748381
