NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"intramax","fob",1833,"atop_allie",-.59757513,-1.4560152,.26086494,.00032490792
"intramax","fob",1834,"atop_allie",-.83588803,-1.614038,-.057738017,.00082790444
"intramax","fob",1835,"atop_allie",-1.1401274,-2.1361606,-.1440942,.0010618094
"intramax","fob",1836,"atop_allie",.071052551,-.5991413,.7412464,-.000058288588
"intramax","fob",1837,"atop_allie",-.27780724,-1.1526642,.59704977,-.0000166066
"intramax","fob",1838,"atop_allie",-.06091509,-.6518892,.53005904,-.0001968875
"intramax","fob",1839,"atop_allie",-.088653095,-.85297334,.67566717,-.000069741
"intramax","fob",1840,"atop_allie",.12655805,-.51525396,.76837003,.00001712005
"intramax","fob",1841,"atop_allie",-.60709423,-2.1810162,.96682781,5.2285295e-06
"intramax","fob",1842,"atop_allie",-.48873493,-2.1932693,1.2157995,-.0038627184
"intramax","fob",1843,"atop_allie",-.89376616,-3.0364356,1.2489034,-.000097246848
"intramax","fob",1844,"atop_allie",.65888846,-.025826134,1.343603,.00041812236
"intramax","fob",1845,"atop_allie",-1.7883463,-3.8143532,.23766065,-.0013090355
"intramax","fob",1846,"atop_allie",-.85026532,-2.0669301,.36639926,-.0015853524
"intramax","fob",1847,"atop_allie",-.049175221,-.51794463,.41959417,-8.6303262e-06
"intramax","fob",1848,"atop_allie",-.91848344,-2.2500503,.41308346,-.0016219412
"intramax","fob",1849,"atop_allie",-.9172852,-2.9956346,1.1610641,.000098664066
"intramax","fob",1850,"atop_allie",-1.1413418,-2.6935039,.41082025,-.0010531774
"intramax","fob",1851,"atop_allie",-1.1722504,-2.6453805,.30087972,.00048781678
"intramax","fob",1852,"atop_allie",-.45212895,-1.8544403,.95018244,-.000071937931
"intramax","fob",1853,"atop_allie",-.16390118,-1.1555039,.82770151,-.000016452179
"intramax","fob",1854,"atop_allie",-.17080589,-.88488227,.54327047,-.000010275145
"intramax","fob",1855,"atop_allie",-1.4597527,-2.5161939,-.40331155,.0030405247
"intramax","fob",1856,"atop_allie",.45270145,.055120997,.85028189,.00016725447
"intramax","fob",1857,"atop_allie",-.29942364,-1.6053269,1.0064796,.00010190485
"intramax","fob",1858,"atop_allie",.36071619,-.76119334,1.4826257,-.000059647529
"intramax","fob",1859,"atop_allie",-.26312655,-1.568436,1.0421829,-.00066795904
"intramax","fob",1860,"atop_allie",.14488468,-.27992326,.56969261,-.00090696284
"intramax","fob",1861,"atop_allie",-.048356954,-.54896408,.45225018,.000386289
"intramax","fob",1862,"atop_allie",.14229524,-.59159905,.87618953,-.00044201198
"intramax","fob",1863,"atop_allie",.27310038,-.5631808,1.1093816,.00010893033
"intramax","fob",1864,"atop_allie",-.70884085,-1.9041477,.48646602,.00044336455
"intramax","fob",1865,"atop_allie",-.72235578,-2.3912024,.94649088,-.00058069645
"intramax","fob",1866,"atop_allie",.37812117,-.053033274,.80927557,-.00035735432
"intramax","fob",1867,"atop_allie",.42762631,-.23728135,1.0925339,.00041113296
"intramax","fob",1868,"atop_allie",-.065296531,-.93380624,.80321318,-.00039929262
"intramax","fob",1869,"atop_allie",-.25590381,-1.1163092,.60450149,-.00023660522
"intramax","fob",1870,"atop_allie",-.59986764,-1.231248,.031512663,.00014482702
"intramax","fob",1871,"atop_allie",-1.2190956,-2.2598808,-.17831038,.0018095998
"intramax","fob",1872,"atop_allie",-1.9507122,-3.1279299,-.77349448,.0036752811
"intramax","fob",1873,"atop_allie",-1.0603828,-2.0598111,-.060954507,-.00053443096
"intramax","fob",1874,"atop_allie",-1.5594319,-2.764091,-.35477275,.0022928943
"intramax","fob",1875,"atop_allie",-.92742389,-1.9402659,.085418113,.00078325818
"intramax","fob",1876,"atop_allie",-.74886197,-1.8696896,.37196568,.00046069853
"intramax","fob",1877,"atop_allie",-.54928976,-1.4808877,.38230807,.0001860746
"intramax","fob",1878,"atop_allie",1.3861247,.69201744,2.0802319,.00094447972
