key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
220-615,615,220,20.008119831049214,124941.43370295175,1,0,0,0,124941.43370295175,1,Algeria (Regency of Algiers),Colony of,0,0,1,1,France,Sovereign,0,0.14145454545454555
200-220,200,220,17.49627509124758,3303139.153521787,0,1,0,bridge,3303139.153521787,1,United Kingdom,Sovereign,1,0,1,1,France,Sovereign,0,0.14145454545454555
220-300,300,220,18.330678299770987,230360.7683898173|378299.2347337186,0,1,0,bridge,378299.2347337186,1,Austria-Hungary (Austrian Empire),Sovereign,2,0.03181818181818183,1,1,France,Sovereign,0,0.14145454545454555
211-220,211,220,19.936811610551487,4572075.58956739|1650995.5200018063,0.6,0.4,0.96,0,4572075.58956739,1,Belgium,Sovereign,0,0.5140540540540542,1,1,France,Sovereign,0,0.14145454545454555
145-220,145,220,16.211422966620653,3904.419803217242,0.95,0.050000000000000044,0.19000000000000017,0,3904.419803217242,1,Bolivia,Sovereign,0,0.09500000000000008,1,1,France,Sovereign,0,0.14145454545454555
140-220,140,220,19.149981785091462,351397.7822895518|112017.80415430268,0.05,0.95,0.19,bridge,351397.7822895518,1,Brazil,Sovereign,3,0.22307692307692312,1,1,France,Sovereign,0,0.14145454545454555
155-220,155,220,19.062051605517524,144463.53271903796,0.95,0.050000000000000044,0.19000000000000017,0,144463.53271903796,1,Chile,Sovereign,0,0.182,1,1,France,Sovereign,0,0.14145454545454555
220-390,390,220,17.642082379297257,62470.716851475874,0.05,0.95,0.19,bridge,62470.716851475874,1,Denmark,Sovereign,3,0.257,1,1,France,Sovereign,0,0.14145454545454555
220-329,329,220,19.1563281021633,769170.7012337967,0,1,0,bridge,769170.7012337967,1,Two Sicilies,Sovereign,2,0,1,1,France,Sovereign,0,0.14145454545454555
220-651,651,220,19.015837391056735,437295.0179603311,0,1,0,bridge,437295.0179603311,1,Egypt Arab Republic (Egypt),Sovereign (unrecognized),2,0,1,1,France,Sovereign,0,0.14145454545454555
130-220,130,220,18.613655244763343,3904.419803217242,0.95,0.050000000000000044,0.19000000000000017,0,3904.419803217242,1,Ecuador,Sovereign,0,0.09500000000000008,1,1,France,Sovereign,0,0.14145454545454555
220-230,230,220,19.638253002051883,1257223.1766359522,0.05,0.95,0.19,bridge,1257223.1766359522,1,Spain,Sovereign,3,0.22444444444444445,1,1,France,Sovereign,0,0.14145454545454555
220-324,324,220,19.927924706528295,2658909.885990942,0,1,0,bridge,2658909.885990942,1,Kingdom of Sardinia,Sovereign,2,0,1,1,France,Sovereign,0,0.14145454545454555
2-220,2,220,19.58199577704247,5493518.66312666|4439301.27862517,0,1,0,bridge,5493518.66312666,1,United States of America,Sovereign,1,0.031228070175438598,1,1,France,Sovereign,0,0.14145454545454555
220-350,350,220,18.532562935265464,23426.518819303452|69920.34983601437,0,1,0,bridge,69920.34983601437,1,Greece,Sovereign,2,0.05000000000000001,1,1,France,Sovereign,0,0.14145454545454555
220-65,65,220,20.94400244131116,855067.936904576|810484.8898953616,1,0,0,0,855067.936904576,1,Guadeloupe,Colony of,0,0,1,1,France,Sovereign,0,0.14145454545454555
220-90,90,220,19.811033784719555,7808.839606434484,0.85,0.15000000000000002,0.51,0,7808.839606434484,1,Guatemala,Sovereign,0,0.63,1,1,France,Sovereign,0,0.14145454545454555
