key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
100-130,100,130,2.3080655834145,0.0000818661297177523|0.000005225497641558658,1,0,0,0.0000818661297177523,,,Colombia (New Granada) (Gran Colombia),,3,3,LA,0.13222222222222224,,,Ecuador,,3,3,LA,0.2793333333333334
100-135,100,135,1.315549853108805,0.00008883345990649718|0.0000017418325471862193,0.5,0.5,1,0.00008883345990649718,,,Colombia (New Granada) (Gran Colombia),,3,3,LA,0.13222222222222224,,,Peru,,6,3,LA,0.38461538461538464
100-2,2,100,1.6538273807089316,0.004093306485887621|0.006634640172232296,1,0,0,0.006634640172232296,,,United States of America,,3,3,AS,0.19244444444444445,,,Colombia (New Granada) (Gran Colombia),,3,3,LA,0.13222222222222224
100-225,100,225,0.045134981852459184,0.00002090199056623463|0.00011321911556710425,0,1,0,0.00011321911556710425,,,Colombia (New Granada) (Gran Colombia),,3,3,LA,0.13222222222222224,,,Switzerland,,5,1,WE,0.15
100-52,52,100,1.2480041271504265,0.00006096413915151768,0.95,0.050000000000000044,0.19000000000000017,0.00006096413915151768,,,Trinidad and Tobago,,3,3,LA,0.2507142857142857,,,Colombia (New Granada) (Gran Colombia),,3,3,LA,0.13222222222222224
100-68,68,100,1.5297714896226742,0.00047203662028746593,1,0,0,0.00047203662028746593,,,Netherlands Antilles,,3,3,LA,0.0633333333333334,,,Colombia (New Granada) (Gran Colombia),,3,3,LA,0.13222222222222224
100-840,100,840,0.692680478359727,0.00007315696698182121,0,1,0,0.00007315696698182121,,,Colombia (New Granada) (Gran Colombia),,3,3,LA,0.13222222222222224,,,Philippines,,1,1,WE,0
100-94,94,100,0.8215389652848584,0.0000017418325471862193|0.000017418325471862194,1,0,0,0.000017418325471862194,,,Costa Rica,,3,3,LA,0,,,Colombia (New Granada) (Gran Colombia),,3,3,LA,0.13222222222222224
100-95,95,100,1.7170677057105843,0.000005225497641558658|0.000008709162735931097,1,0,0,0.000008709162735931097,,,Panama,,3,3,LA,0.14285714285714285,,,Colombia (New Granada) (Gran Colombia),,3,3,LA,0.13222222222222224
101-140,101,140,0.5095930930062373,0.000010450995283117315|0.001022455705198312,0.6,0.4,0.96,0.001022455705198312,,,Venezuela,,3,3,LA,0.3711111111111111,,,Brazil,,6,3,LA,0.21
101-160,101,160,0.6370601975344323,0.000552160917458033|0.000031352985849351997,0.5,0.5,1,0.000552160917458033,,,Venezuela,,3,3,LA,0.3711111111111111,,,Argentina (La Plata),,6,3,LA,0.15227272727272725
101-165,101,165,0.934142540843812,0.0001811505849073668|0.000005225497641558658,0.5,0.5,1,0.0001811505849073668,,,Venezuela,,3,3,LA,0.3711111111111111,,,Uruguay,,6,3,LA,0.31700000000000006
101-2,2,101,1.0708989827510798,0.008831091014234146|0.008641231266590861,1,0,0,0.008831091014234146,,,United States of America,,3,3,AS,0.19244444444444445,,,Venezuela,,3,3,LA,0.3711111111111111
101-40,40,101,0.46626038093286043,0.00008709162735931097|0.0000017418325471862193,0.05,0.95,0.19,0.00008709162735931097,,,Cuba,,6,3,LA,0.20550000000000002,,,Venezuela,,3,3,LA,0.3711111111111111
101-52,52,101,2.6801681202438266,0.000006967330188744877|0.00077511548349787,0.95,0.050000000000000044,0.19000000000000017,0.00077511548349787,,,Trinidad and Tobago,,3,3,LA,0.2507142857142857,,,Venezuela,,3,3,LA,0.3711111111111111
101-666,101,666,0.6435794945759961,0.00017244142217143573,0,1,0,0.00017244142217143573,,,Venezuela,,3,3,LA,0.3711111111111111,,,Israel,,5,3,AF,0.31347826086956526
101-68,68,101,3.576602163276033,0.011097215158123426,1,0,0,0.011097215158123426,,,Netherlands Antilles,,3,3,LA,0.0633333333333334,,,Venezuela,,3,3,LA,0.3711111111111111
101-93,93,101,1.4430877345774817,0.000045287646226841755,1,0,0,0.000045287646226841755,,,Nicaragua,,3,3,LA,0.09153846153846155,,,Venezuela,,3,3,LA,0.3711111111111111
115-2,2,115,0.7943761706847577,0.00019160158019048413,0.95,0.050000000000000044,0.19000000000000017,0.00019160158019048413,,,United States of America,,3,3,AS,0.19244444444444445,,,Surinam (Dutch Guiana),,3,3,AS,0.09500000000000004
115-210,115,210,2.177293027944385,0.00009231712500086962,0.05,0.95,0.19,0.00009231712500086962,,,Surinam (Dutch Guiana),,3,3,AS,0.09500000000000004,,,Netherlands,,2,3,AF,0.22479166666666672
115-52,52,115,3.065642409375962,0.000012192827830303535,1,0,0,0.000012192827830303535,,,Trinidad and Tobago,,3,3,LA,0.2507142857142857,,,Surinam (Dutch Guiana),,3,3,AS,0.09500000000000004
